id,seeker_post,response_post
299,Yeah.,"Okay. So over the past year, the smoking has increased. And that's been mainly in the evening?"
300,"Um, honestly, it's probably been over the past year or so that I- I've been smoking a little bit more.","Mm-hmm. Well, that's the time when you can relax and unwind."
301,"Yeah. Um, I have a two-year-old son as I mentioned, so I try to never smoke around him. So I'm normally kinda waiting until he gets to bed.","Yeah, exactly. You know, I told you, my-my schedule is kinda crazy right now. I, um, I work full-time and I just started back at night classes. So, you know, all that combined, you know, I enjoy that time to myself in the evening."
302,Mm-hmm.,"Sure. Sure. Well, it's a time to relax and you've got a lot going on."
303,"Um, I mean, maybe I'll have like a drink or two.",So are there other things you do in the evening to relax?
304,"Um, maybe like two max.",Okay. A drink or two. So about how many drinks would you say you have over the course of a day?
305,"I don't know. I mean, I don't really get why you're asking me that. I mean, I just came here, you know, for a regular visit. I-I am not here to talk about my drinking.",Two max. How many drinks would you say you'd have over the course of a week?
306,"Yeah, I guess.","No, I understand- I understand. And I'm certainly not here to tell you what to-to do, Sarah. I'm interested in hearing your thoughts and sharing some information with you, and what you do with that information is totally up to you. You've got a lot going on. You're a mother, you're working, you're going to school, and our healthcare team wants to make sure that you have all the resources available to you to meet your goals, including good health. And my job as your healthcare provider is to listen to you and to share information with you, including healthcare concerns associated with smoking and alcohol. Would that be okay with you?"
307,Yeah.,"Okay. Well, we do know that an increase in smoking and alcohol is associated with certain kinds of cancer; colon cancer, cervical cancer, breast cancer, lung cancer, and, um, also pancreatic cancer. It's also associated with liver and lung disease as well as heart disease, diabetes, and hypertension. So that's a lot of information, but I'm-"
308,"Well, I-I'm just kinda surprised because, I mean, I don't smoke or drink that much. And I mean, compared to people I work with, you know, I-I smoke a lot less, and I feel like I've actually been trying to keep it pretty low.","-interested in what your thoughts are, Sarah."
309,Yeah.,So you're consciously trying to cut back.
310,"Um, maybe like a five.","I have a readiness ruler in my pocket here, 0 means not ready to stop smoking at all and 10 means absolutely ready to stop smoking. Where do you see yourself on that scale?"
311,"Well, I mean, you brought up some kinda scary stuff like, you know, cancer risk or other things like that. And you know, being a mother, I-I don't want something to happen to me obviously.",About a five. So you're halfway there. So why did you choose a five rather than a four?
312,"Well, I mean, I could maybe try to cut back in the evenings a little bit.","Right. Well, that's a lot of information to think about. So given, the fact that these healthcare concerns are a possibility, and that you're worried about your family and you certainly have goals you want to succeed at, where are you in your consideration to making a change? In other words, what steps would you consider taking for this number to move closer to a 10?"
313,"Well, right now, if I'm having like five or six, I could try to smoke three in the evening plus, you know, still the couple during the day.","Okay, great. Let's quantify that a little bit. So how many cigarettes would that be?"
314,Yeah. Sure.,"Okay. So you-- that's cutting back quite a bit. That's a big step. So since we're kind of running out of time here today, I'm wondering if we could-- would be willing to come back in about four weeks to review this plan?"
315,"Yeah, I-I think that would be very helpful.","Okay, good. So we can go over your laboratory results at that time, as well as review your plan. Now, would you like some information on smoking cessation?"
316,Mm-hmm.,"Okay. Well, I've got a brochure here and this has-- it's a really good brochure. It has some distraction techniques in it in case you get those nicotine cravings. So it's-"
317,"Well, what-what for exactly?","-been helpful, um, in-- with patients before. I'd also like to ask you, would you be willing to see one of our counselors?"
318,Mm-hmm.,"Well, Dr. Kirtley is one of our counselors and he is an expert in-- at discussing the association between alcohol and stress. I want to share something with you. The National Guidelines recommend that women have no more than seven drinks of alcohol per week to-to stay at that low risk level, to avoid the healthcare concerns that we spoke of earlier."
319,"I mean, I would like to talk about, you know, my stress, but I'm still not sure with the whole drinking thing.","You've indicated that your alcohol consumption is a bit higher than that, putting you at risk. So that's why I asked if you'd be willing to talk to Dr. Kirtley."
320,I don't think so.,"Certainly, certainly. I'm glad you're willing to talk to him. So before you leave here today, we'll, uh, stop by the scheduler's desk and make an appointment for you to see me back in four weeks, as well as the appointment with Dr. Kirtley. And that way, before you leave, you're all set. So do you have any other questions for me, Sarah?"
321,"Oh, I-I don't know if I'm comfortable with that. I've been reading a bunch of stuff lately about them.","Okay. Well, it's very nice to meet you. I'll see you in a month."
322,"Uh, yeah, well, I was just- I was reading that it's better to let them build up their immunity, like, naturally and stuff in their immune systems.",Hmm. Can you tell me more about your concerns about vaccines?
323,"Well, yeah. I mean, I had chickenpox as a kid, and now I'm immune. Right? So.","Okay, so you were thinking that maybe exposing Lily naturally to these diseases would be a better choice than using vaccines to help her get stronger?"
324,"Uh, okay.","That's right. Having chickenpox as a child means that you are less likely to have chickenpox as an adult because you've developed a-a natural immunity. Uh, but is it okay if I offer you a little bit more information about the other vaccines that we're- we were going to give her Lily today?"
325,"Wow, I didn't realize it was so dangerous. I've never heard of polio.","Okay. So, uh, before vaccines were developed, often when children had a natural exposure to some of these diseases, they ended up with, uh, sometimes death, disability, measles caused brain damage and, uh, deafness and blindness. Polio caused, uh, paralysis in children. And so, allowing children to have natural exposure to these diseases, sometimes was a little bit of a gamble, it could be dangerous."
326,"Uh, I guess it's okay. I mean, I just I want her to be healthy and safe.","Hmm. Some of these things I've mentioned to you, you're-you're not familiar with. Uh, and I think that's because we've done such a good job of eliminating some of these diseases that a lot of people your age, and even my age, are unfamiliar with those things.  Um, so having shared this information with you, what do you think about the idea of vaccines for-for Lilly?"
327,"Yeah, I guess so.",It's really important for you to make sure that she's protected and that you make good decisions and do your research before you make any medical decisions for her.
328,Yeah.,"-on that. All right. So, I'd like to ask you, uh, kind of a scaling question about this 'cause I'm hearing that this feels really important to you that you'd be way up there on the high- on the high end of importance."
329,"Right now, I'm probably-","So, I'm gonna ask the question this way, on a scale of 0 to 10, where 0 is not at all confident, and 10 is like, ""I'm very, very confident,"" where would you put yourself on a scale right now of confidence in starting this new plan?"
330,-gonna say a six.,Mm-hmm.
331,"But I know when I go home and I see the food, it's probably gonna drop back down to a four.",A six.
332,Right?,"Okay. All right. So, let's talk about that, um, so we should just assume we're gonna be at a four."
333,I guess.,Okay?
334,"Because I've been wanting to do this for-for years, like-","So, why are you at a four and not even a lower number? Why are you not like a zero or a one?"
335,-ever since I started becoming conscious of my body.,Okay.
336,"Like ever since I started being a teen, like this has always been a goal of mine, like, especially 'cause all my friends play soccer, and like-",Okay.
337,"-hike, and are like super stick-thin but really healthy and active.",Uh-huh.
338,"And so I'm just sort of like, well, I'm not.",Okay.
339,"But I want to be like-- I don't want to be like stick-thin, but I really want to be like really healthy and really active.",Okay.
340,"And like be able to look nice, you know.",Okay.
341,I wanna be able to look nice.,"Okay, all right."
342,I don't even really know-,"Okay. So, what would help increase that confidence? What-- Because that sounds like where we really need to focus on. What's gonna help you feel more confident about this?"
343,"-honestly. Like, I mean, I know I'm gonna have to keep like telling myself like-",Mm-hmm.
344,-like this is something that you want- that you've wanted-,Mm-hmm.
345,-for years.,Uh-huh.
346,"Like, you can do it. Because like-",Uh-huh.
347,I know I can do it. Like I can do anything.,Okay.
348,I can do anything-,All right.
349,-I know that. But it's hard getting to the point where I-,All right.
350,-do something.,Okay.
351,"Uh, yeah. I just got off work, and apparently, they're going smoke-free, so I'm-- I-I thought I'd stop by the pharmacy here and see what my options are. Some of my friends have tried nicotine patches and the-- they say they don't work really well. I don't really wanna quit smoking, I just need something to get me through the day.","All right. Well, if it's okay, just for a moment, let's put the- let's put the changing the eating pattern off to the side, and let's take a look at some other time in your life that there was something you really wanted to accomplish and you did. And what is it about you- what was it about you? What kind of strengths did you bring to the table that allowed you to tackle something that felt like a challenge and-and allowed you to be successful?"
352,"Maybe like da-- during the day nicotine replacement. Is that-- I mean, do you have anything like that?","So you want nicotine replacement, but you don't wanna quit smoking?"
353,"Well, I don't really wanna quit. I mean, I like smoking. I like go-- after work, I have a beer with my friends, and I'll smoke cigarettes. I mean, it's not really a big deal. Cigarettes aren't that bad. I mean, I know that the-- it's popular to say that smoking is bad for you but, you know, I like it, so I'm gonna be doing it.","We don't really recommend that. The idea is you would use the nicotine replacement to actually quit, so then you wouldn't be smoking at work, but you also wouldn't be smoking the rest of the time either."
354,"Yeah, yeah. Okay.","Okay. Well, smoking really is really bad for you, you know. It causes things like lung cancer, emphysema, heart disease-"
355,"Okay. Well, what are my options? You know, assuming that I'm right, what are my options?",-oral diseases.
356,"Well, I mean, I s-- I-I-I smoke barely a pack a day. I mean, I've probably smoked for about five or six years now. It's not really a lot of cigarettes, but it's sort of hard to get through the day at work.","Well, to be honest with you, you mentioned the patch. I can't recommend a patch to you if you're gonna continue smoking. That can actually be pretty dangerous for you. In order to advise you about this at all, I need you to tell me a little bit more about your smoking history and how much you're smoking now."
357,"Sounds good to me. The more nicotine, the better. Is it like gum or something? Could I chew it like while I'm in the office? That sounds pretty great. I mean, do you have—","Okay. Well, we actually consider 20 cigarettes a day to be a significant amount, and in fact, I would then recommend to you that you would start on the highest dose of nicotine replacement."
358,"Oh. Okay. Well, where is that?","Well, there are some products that you could use to take away some of your cravings, and probably the gum would be the best option for you. It's not something you would continue to use continuously throughout the day, however, but gum is something you use just when you have a craving."
359,"Well, I-- [sighs] I'm probably not gonna buy anything today. I mean, I just came by to see what my options are. I-- if-- thanks for the input. I mean, do you have anything else, do you have any other advice for me?","Well, we have that here, but again, the-the idea would be for you to actually quit smoking."
360,"Oh, well. Okay. Well, thanks. I mean, I guess that helps a little bit. I'll-- maybe I'll be back later. Thanks.","Well, aside from the gum, you could try the nicotine lozenge, that would be another option for you. Again, that's not something you'd wanna use continuously throughout the day. The nicotine patch is the best for continuous nicotine replacement, but again, that's not something you can use while you're continuing to smoke."
361,"Oh, it's a nice place. It's close to work. It's good living with a mate.",Okay.
362,Yeah.,"Yeah. So, in terms of being supportive and a sort of support you're gonna need to make these changes."
363,"That's the thing, isn't it? I am-- I don't know if it's the best place for me to be if I'm gonna make those changes.",What's your thinking around that?
364,And Tristan is a good flatmate.,Mm-hmm.
365,"I have no-- We're going in different-different directions now. He doesn't have the same kind of responsibilities I have and stuff, and so-- And I can't expect him to change his whole life around, just because I wanna change mine.",Yeah.
366,"I just-- I don't know how keen I am to move in with my- with my aunty and uncle, though.",Right.
367,"I sit down and talk with him, asked him for, um, for support and stuff and he's fully, he says fully he'll be there for me. But, like I said, he's, um, he's in a different place in his life than I am in mine.","Okay. You're good to explore, but I just want to ask you about, how much does Chris-Christian-Christian know-- Tristan know about you changing your life? What does he really know about the changes you wanna make?"
368,He doesn't have kids.,Mm-hmm.
369,"He doesn't-- I don't know if he can really understand what it means to me. Um, he's a good mate.",Right.
370,"The food would be good. Um, I get- I get support with-- my whānau is really supportive, but I'm- I'm worried about losing- I'm worried about losing my freedom. I'm worried about, um, about them taking over, or, you know what I mean? I have a freedom where I am now, I'm in charge of myself. That would probably be really good.","Okay. What are some of the pros and cons about moving in with whāna, moving in with your auntie and uncle?"
371,"I don't wanna hang on to freedom if it this- if it means that I lose my kids. Um, I'm just, uh, I'm just worried about-- I'm worried about if I move in with family, that they, even if their intentions are good-","In terms of that freedom and in charge of yourself, and the changes that we're talking about, and building your own family, and to enable you to do that, where do some of that freedom stuff sit with re-engaging back with your whānau and your children, your partner? Is it something you're gonna wanna hang on to, or how you're going to manage that?"
372,Okay.,Mm-hmm.
373,"No, I would bum cigarettes in college, but I was never a smoker.","Do you use any tobacco products, or smoke cigarettes?"
374,"No, not really anything.",Okay. How about in the last year?
375,"Um, a few times a week. Uh, Wednesdays, I'll go to happy hour and have about two or three. And then, um, Thursdays, seven, um, seven or eight. Fridays, probably just a couple of glasses of wine with dinner. Um, but Saturdays are bigger night. And I would probably have a few drinks before I went to the bar. And then have four or five at when-when I was out. So—",Okay. And how often do you have a drink containing alcohol?
376,"I guess, it sounds like a lot when you say [chuckles] like that. But yeah.","Okay. So it sounds like you're drinking about four times a week, anywhere between three and eight drinks on a given day. So, maybe around 20 drinks a week?"
377,"No. I-I smoked weed in college, but just a little bit. I wasn't a regular smoker.","Okay. Do you use any street drugs like any marijuana, cocaine, heroin?"
378,No.,"Do you, um, do you ever use any prescription medicines that were not prescribed for you, or ever use your own prescriptions in a way on which they were not prescribed?"
379,Okay.,"Okay. So, you know, as we said before, you're drinking-- it sounds like you're drinking about 20 drinks a week, over the course of a few days. And I did want to point out to you that the recommended limit for women is actually no more than seven drinks a week, and no more than three on a given day."
380,That's a lot to change. I don't know.,"So you're doing more than that right now. And when you drink more than this amount, it puts you at risk for a number of things, okay? Things like greater risk of injury, damage to different parts of your body, um, just a bunch of different problems. And, uh-- so I'm going to recommend that you cut down- cut down that amount to the recommended limit. Again, that's no more than seven drinks a week and no more than three on a given day. Do you think you could do that? Would that be a good goal for you?"
381,"I mean, the stairs were really steep. So—","Yeah, I know that making changes isn't always easy. But when you drink more than what's recommended, it creates problems. You know, you said you hurt your ankle when you came out of the bar this time."
382,"Where are these limits from? Um, old- an older population? Because, uh, I drink just as much as my friends do. I mean, everybody drinks like I drink. I'm not even the biggest drinker in my group. So I'm pretty middle of the road.","Yeah. Well, it's possible you strained your ankle as a result of the alcohol. You know, it can actually affect your balance and stability. So, really, you know, for where you are right now, you're drinking a good amount more than what's recommended. And, you know, I want you to be healthy. And I don't want to see you coming back in here for something else. So I'm really gonna recommend that you try to cut down to that amount. So, do you think you could do that, cut down to no more than three drinks on a given day?"
383,Yeah.,"So, it sounds like, you know, the amount you drink is pretty normal-"
384,"I don't know. It's what we do. It's-- this is how we have fun, I guess. It is fun.","-amongst the people you typically drink with. But these limits are-- they're actually recommended for all adults. And studies have shown that when you drink more than this, it creates a bunch of problems like we talked about. So, you know, why do you think you drink the amount you drink?"
385,Okay.,"Well, I think you can still have fun within these amounts. So that's what I'm gonna recommend. Um, I think this is a really good goal, and hopefully, we won't see any more injuries. Okay? So why don't you try that?"
386,I don't really know what issues I need to sort.,All right. Thank you so much.
387,I don't really know what issues I need to-,Sorry?
388,-sort. It's just a bit of cash.,All right.
389,So—,Yeah.
390,Mm-hmm.,"So first, it might be trying to sort out what are the important issues to sort out."
391,"Um, I don't think there is much to sort. I have a few drinks like everybody else my age.","Yeah, that makes sense? Yeah? So how confident are you that-that, you know, you can sort out the issues related to, um, you know, uh, taking the money from your employer? And another thing, in your precinct's report, there were some issues around gambling, and some issues around alcohol use. So those seem to be important issues that are kind of getting out. So how confident are you that you can get those sorted in the nine months we've got?"
392,"Pokies are at the pubs for the thrills, it's no worries.",Yeah.
393,It's not an issue.,"Yeah, yeah."
394,"Uh, I suppose when you've got no money in the pocket at the end of the night.","Yeah. See one of the things I'll be really interested in-in talking with you about is, um, yeah, what's-what's the, um, what's the worst thing that has happened in terms of pokies, in terms of you know behavior around the pokies, what's the worst thing that's happened?"
395,"And some nights you do, so.","Yeah, yeah."
396,"Well, I don't really keep track.",Yeah. So how often do you end up with no money in your pocket? Can be the times when you end up with money in your pocket
397,I don't know. A few times a week.,"Yeah, yeah. So if we were to think back, say the last month, the last four weeks, how many times would you have gone down to the- to the pokies, the pub?"
398,"I don't know. It's if you're at the pub, you're, you know, that-that you're out there.",Yeah. Yeah.
399,Mm-hmm.,That-that you're up for the money and-and then-then they slot you.
400,Mm-hmm.,"Okay. So-so thinking about this, say a couple times a week, you know, two or three?"
401,"I don't know. A few times, probably when I have it, I might drink a drink.","Yeah, yeah, yeah? So that's 12 times. So how many times would you have walked away with money in your pocket after, any out of the 12, what's your- what's your sense?"
402,Yeah.,Okay. Okay. So you're saying about 50-50?
403,It's the unlucky ones.,"'Cause you have to understand the odds are about-- sort of-of tend to be about 25% on the 100, that-that's [crosstalk]"
404,Mm.,"Yeah, you might be lucky then. So-so what do you reckon like in terms of like you're saying you're not sort of sure if that's an issue, and that's probably something that we can be working with, uh, figure it is an issue."
405,"A bit of a rush, I suppose.","And, yeah, it might be an issue, I don't know if it's an issue at this point. It'll be interesting to sort of talk about that. But I'm wondering what happens, yeah, when-when you get on the pokies out there, they're certainly at the pub, pokies around? So what happens in your body when, um—"
406,"Yeah, I suppose.","A bit of a rush. Yeah. 'Cause other people I have worked with say that, yeah, sometimes they get a bit of a rush, that somehow the rush takes over and they don't know when to stop. Not sure if that's what- if that's what it's like for you, but other people have told me that, so."
407,"I don't know, I suppose it's lead me to be here, maybe. I don't know.","Yeah, yeah. Yeah, yeah. So that could be an issue we could spend some time talking about here, 'cause obviously you know, you don't- you don't - you don't wanna be here, and then my interest now is just getting you o-out of the system, not getting you into the systems. So-so here, um-- how-how much do you think this is an issue for you, you reckon? The pokies and the gambling."
408,Mm-hmm.,"Yeah, yeah. Thinking about your friends, you know, how would you soft of think about your friends 'cause, you know, I guess you go out with your girlfriends and stuff."
409,"Much the same, bunch of party girls.","Yeah, yeah. So, in terms of their behavior, like how did your behavior sort of match with their behavior? Are they much the same as you, are they different than you?"
410,"Um, I don't know. I suppose they walk away a bit quicker than me.","Yeah, yeah, yeah. Then, in terms of the pokies and stuff they much as they like doing the pokies so much as your doing the-- You know, compared to you doing the pokies?"
411,Sarah.,"Oh, okay, okay. Who's-who's-- What's your girlfriend's name, your best- your best friend, best girl friend?"
412,I don't know.,"Sarah, So what do you think Sarah would say?"
413,We'd just have a laugh.,What would she say about—
414,"Uh, no friends or friends should-- She accepts me for who I am.","Yeah, what would she say about-- 'cause she knows you pretty well. She'll-she'll-- she goes to the pubs with you probably and see you putting the money on pokies, what would she reckon?"
415,Mm-hmm.,"Absolutely, and that's what you want from friends, isn't it?"
416,At times.,"You want that acceptance, absolutely, yeah, yeah. But won't you say, you know, friends also-- good friends also can, you know, call you on stuff too, can't they? Yeah?"
417,"I don't know. You don't have any money, so-- And that she-she'll probably be quite happy if I stopped.","At times. Yeah, so-so what you-- wha-what she might say to us about about- a-a-about your gambling?"
418,"But, um, I don't know. She-she doesn't really discuss it with me.",Okay.
419,Mm.,"Okay. But you owe her some money and you get the sense that-- Or I'm picking up, you get a sense that she's not terribly happy."
420,Mm.,"Yeah, yeah, okay, okay. So Sarah might see it as an issue. And-and I guess there's a part of you also sees it as an issue, part of you, you know. Part of you may not, but a part of you does."
421,"Um, I don't know if pfft-- maybe I wouldn't be here if it wasn't for gambling 'cause-","So the part of you that does see this is-- as an issue, yeah, that the gambling sometimes can be out of control, you know, tell me that part of you that-that maybe knows that, uh, it's getting you into trouble and it's gone way-- just moved you off from that point, there have been some—"
422,"-you know, suppose in some way, I took the money for-for that but I don't know, you know? It's just a few dollars here and there and I didn't really think about it at the time, so-",Yeah.
423,-I don't know.,Mm.
424,"I don't know. I-I don't think it would have been too much of a problem. I mean I'm not a bad person, I wouldn't have, you know, wouldn't have continued to steal. It was just at the time that I was going through a rough patch. I wasn't intending to make it a long-term thing.","Yeah, and-and in some ways getting caught might be a good thing. I know it might sound a re-really sort of strange thing to say, but I wonder if like getting caught might have been a good thing. Because you would have read the papers about other people's of-- you know. They're the hands that would turn on stuff and end up with gambling problems and big money. So I want- I want to hear much that it might have been a good thing that you got caught at this stage, and you got a chance to do some talking about it and working around some strategies to get it under control so it doesn't control you. What's your hunch about that?"
425,Yeah.,"Yeah. Yeah, so you're not a bad person. Certainly, I don't make judgments about people being bad people. So that seems sort of actually thinking about this, you sensed that you could've stopped."
426,"I don't know, you tell me.","Have you put on a kind of real hat, you know, you get a real hat here, you know? What-what's your hunch about that? Is it a kind of-- that kind of realization it's a bit of a smoke screen, what's your hunch?"
427,"Uh, I suppose I didn't expect the-the money would've added up to what it did, so I guess, at the time, I- [sighs] I wasn't thinking of the reality of it, you know, building up, so-",How about then your-your kind of hunch about that?
428,"-you know, it did, so I'm here-",Mm.
429,"-so, I suppose—",Yeah-
430,It's a couple of grand or something.,"-so, what did it add up to, at the end of the day? What are we talking here?"
431,"Well, that a little bit here, a little bit there is nothing I didn't work for. [chuckles] I worked [unintelligible 00:10:35] and I was getting paid $18 an hour-","Yeah, yeah. It's a little bit here, a little bit there, so it then adds up, yeah? Yeah."
432,"-$25, you do the math. [chuckles] And that's gonna support me?",Mm.
433,I don't know. I'm usually an open person. [chuckles],"Yeah. Okay. So-so, there's some-some questions you've got around some-some ways you, kind of, explained them. And then, as we work together, you know, we-- there might be some other ways we look at it and see it too, you know, that-that's part of working together. So, I'm wondering, how open are you to, you know, seeing this situation from lots of different angles?"
434,Just provided it will help me deal with it.,Yeah? Yeah.
435,Yeah.,"Yeah, yeah."
436,I don't know. I am just usually pretty open with people. It's a bit different here tonight and-,"Okay. So, what other things have you've been open to at other times in your life when you've been open to-to new ideas and being able to talk about stuff, that may be tough to talk about?"
437,-just not knowing what to expect then—,Yeah.
438,"I don't know. I suppose I'm saying that the money did add up, and that was enough for me to end up here, so-","Yeah, and-and, coming in, talking to a stranger, you know, and someone who can be honest to what you did, talking to a stranger, coming in this time, what do you sense about how you're doing so far?"
439,-I suppose I'm here for a reason. [chuckles],Mm.
440,I didn't have a choice. [chuckles],"Yeah. You know, like-- I-- And, some people wouldn't even, sort of, get in the door or wouldn't be as open as you've been today, okay, to an extent, so, you know, like I said, good on you, yeah. You know, being able to-- It's hard to come to a place like this and start to really open up, so, you know, you've just shown that you can do that. Yeah."
441,Mm.,"Well, you have a choice about what you open up to me about. Absolutely, you have a choice about that, yeah. That coming, being on sentence, no, you don't have a choice about that, um, well, you have a choice, 'cause, I mean, you can choose not to come, and you'll be breached and get to head back to court."
442,Mm.,"Um, but you do have a choice about how you are here when we meet, and what-what we talk about here. So, um, you know, so you do have lots of choices within that. And, my sense is you're, sort of, you know, a young woman who will make some good choices about that 'cause you're not a bad person, and you know that."
443,"Yeah. I-I just-- I can't shoplift anymore. You know, I got- I got caught again. And uh, you know, I-I got suspended, I got back to school, so I'm-I'm uh-- I'm gonna mess up my whole life here, unless I can stop this.",Yeah.
444,"Yeah, it's bad. My friends and I, we just-- I mean, it's fun and uh-- so I don't know what to do, but I- but I gotta change.",Mm-hmm.
445,I want it.,Okay.
446,Yeah.,"So, it sounds like you're ready. You're ready to give this up."
447,"Right. I don't know what I'm gonna do, I got some friends. These guys are-- they're bad news, but they're my friends.","But, maybe the path to doing that isn't so clear."
448,"And, uh, and it's fun.",Mm-hmm.
449,You know?,And it's fun.
450,"Nothing-nothing much else going on that's as fun as this. We go in, we steal these CDs. It was working out fine, but—",Mm-hmm.
451,Okay.,Uh-huh.
452,"Well, um, It's just me and him and I do smoke. Um, I try really hard not to smoke around him, but I-I've been smoking for 10 years except when I was pregnant with him. But it-- everything is so stressful being a single mom and-and my having a full-time job. And so it's just-- that's why I started smoking again.","Um, I did wanna talk to you though. I'm a little bit concerned looking through his chart of how many ear infections he's had recently. And I-I noticed that you had checked the box that someone's smoking in the home. So I was wondering if you can tell me a little more about that."
453,Yeah. Some people have a glass of wine. I have a cigarette.,You have a lot of things going on and smoking's kind of a way to relax and destress.
454,"I know it's not good for him. I mean, I've read those things about ear infections and asthma and stuff and-and, uh, but other kids have ear infections and their parents don't smoke.",Sure. And it sounds like you're trying not to smoke around him. Why did you make that decision?
455,"Right. Yeah. I mean, he doesn't have asthma. Yeah. He-- I don't-- he hasn't had a lot of other problems that his other friends have, so. And I've thought about quitting before in the past, but I just don't- I just don't see how it's possible right now.","So on the one hand, you're worried about how your smoking might be affecting him and on the other hand, you're not so sure if it's really the smoking that's causing these problems?"
456,"Well, he was inside me and we were sharing everything and I knew that he would get some of that. And I didn't-- I just didn't-didn't think I could live with myself if something happened to him.",What made you decide to quit smoking when you were pregnant?
457,"Yeah, exactly.","Right now, though, it feels almost too difficult to even manage or even to try?"
458,"I don't know. I-I think about it now, I don't even know how I did it. I just- I just did it. You know, I just- I just couldn't imagine like him not being born or going into labor early-",How were you successful when you quit before?
459,"-and-and him having problems and stuff like that, all the stuff that they talk about with women who smoke. So I-- that was just enough to-to say, ""Okay, you know what, I'm-I'm not going to risk that."" so.",Mm-hmm.
460,Yeah.,Mm-hmm. The risks were so scary then that you were able to stop?
461,"No, I mean, we're two separate people. And like I said, I don't, I try really hard not to smoke around him. I'm pretty good about that. I-I don't let other people smoke around him. Um, so I, you know.",But they don't feel as scary to you now?
462,Yes.,You're doing the best you can do.
463,"Yeah. I-I know that I need to, and I, you know, keep every new year I say, ""Okay, this year I'm gonna quit smoking"" but then something happens and it-it just doesn't. And quitting doesn't happen.",Okay. But it sounds to me too like part of you really does want to quit?
464,Yeah.,It's on your to-do list. It's just not making it to the top?
465,"Probably like a 5 . Kind of in the unsure area. Like I know I've done it before, so I know I can do it, but at the same time, it just seems really hard. And it's not the same situation.","If you did decide to quit on a scale of 1 to 10, where 1 is not at all confident, and you don't think you could do it and 10 is you feel pretty certain that you could, where do you think you fall right now?"
466,"I know- I know all the ways it's bad for me. And I don't want him to grow up thinking that it's okay to smoke. I don't want him to-to use any kind of-- I don't want him to chew or anything like that. Um, so I know I need to, especially before he gets old enough to understand what mommy's doing, but I just don't know if I can do it.","Well, what made you say five rather than two or three?"
467,Yeah.,"Okay. So it sounds like you have a lot of reasons why you'd like to quit. You have been successful quitting in the past, and right now you're just feeling a little bit hesitant about your ability to do it?"
468,I don't know. I-I'd like some help. I just don't know what kind of help I need.,Where do you think we should go from here?
469,I don't like medicine.,"Sure. Well, if you'd be interested, that's something I can definitely talk to you about. There are a lot of new options that can actually help people be way more successful in their attempt at quitting. There's different medications you can try."
470,"That sounds nice, but I'm not sure if I have the time for all that.","Okay. There's also a lot of support groups and classes that you can take where you have other people to go through it with you. And sometimes just having that support can be a big part of it, especially for people like you where smoking is such a stress reliever."
471,That would be really nice.,Sure. It feels like something that would take up a lot of time and maybe not fit into your life. I wonder if we could talk about some options that might fit into your life.
472,I would like that. That would be great.,"Okay. Well, if you're willing, then we could set up another appointment where you could come in and we could talk more about that."
473,Thank you.,Great.
474,Hi.,Sure.
475,Yeah.,"Thanks for coming in. Um, so, I'm not sure how much you know already about sort of what you're doing here. If it's okay, I'll give you a little rundown."
476,Okay.,"So, basically, we're here, I'm just gonna talk to you for a little bit about sort of what your goals are for your life, um, get to know you a little bit better and talk about some different behaviors that you might be engaging in. It's not my job at all to judge you or to try and change you, you know. Basically, I'm gonna talk to you about how things are going, any changes you might want to make in your life, how I could help you with that, and just what I can do that's going to be most beneficial for you."
477,Yeah.,Does that sound okay?
478,"Well, my name is Laura. I'm 17 years old, and I'm a senior in high school.","All right, so, I guess just to get started, can you tell me a little bit about yourself?"
479,"Well, hopefully, go to college, get, you know, good enough grades to go to college.","Okay. And, what kinds of things do you plan for your life?"
480,Yeah.,Hm.
481,Yeah.,That's great.
482,"Um, I'm not sure yet. Maybe a few schools in the area, I'm looking maybe to apply out-of-state.",Do you have a plan as to where you might want to go or?
483,"So, maybe move away for college.",Oh.
484,Yeah.,Cool.
485,"Yeah, definitely.","So, kind of keeping your options open."
486,"Yeah, maybe um, pre-law.","Great. And, do you have an idea about what you might want to study or?"
487,Yeah.,"Oh, wow. Okay, that's exciting."
488,"Well, um, on the weekends I like to hang out with my friends, maybe go to like a party, or go to the mall to shop, or if there's like a school-related event, we'll go to like a football game or-","All right, cool. Uh, what do you like to do for fun?"
489,"-something like that, yeah.",Mm-hmm.
490,Yeah.,You like to have a good time?
491,"Um, I would say like a moderate amount. I'm not really-really popular or like, I have no friends.","And, you have a lot of friends or a few close people, or?"
492,"So, I'm like normal.",Mm-hmm.
493,Yeah.,All right.
494,Yeah. [chuckles],"That's a good way to be, right?"
495,"Um, they're pretty good, As and Bs. So, I'm doing okay.","All right, so, um, it sounds like, in general, your-- Things are going pretty well for you. How are your grades right now?"
496,Through college.,Okay.
497,"Um, family definitely, uh, friendship, and belonging.","Great. Well, one thing I want to ask about is, you know, different people have sort of different values or things that are important to them. They might, you know, be really close with family or really have, you know, their friends as being something particularly important. So, I'm gonna show you just a few things on this sheet, and if you can look at them all. So, there's things like belonging, community, cultural identity, family, friendship, modesty, religion, respect, self-determination and spirituality. Which of those do you think is sort of important to you?"
498,Yeah.,Okay.
499,"Well, I-I love them, so I want them to think well of me-",What's important to you about your family?
500,"-and I want them to, um, be accepting and love me.",Hm.
501,"Yeah, I have one sister.",Okay. Do you have brothers or sisters?
